2013年哈尔滨高新技术产业开发区基础设施开发建设有限公司公司债券,123012,13哈高新,1380269,13哈高新债,2020-09-16
2013年江门市高新技术工业园有限公司公司债券,124417,13江高新,1380350,13江门高新债,2020-11-04
2012年浙江湖州环太湖集团有限公司公司债券,124119,12环太湖,1280421,12环太湖债,2019-11-28
2011年海城市城建投资有限公司市政项目建设债券,122794,11海城债,1180154,11海城债,2018-11-07
2009年苏州汾湖投资集团有限公司公司债券,122938,09汾湖债,0980144,09汾湖债,2017-10-22
2012年瑞安市国有资产投资集团有限公司公司债券,124027,12瑞国投,1280410,12瑞安债,2019-11-26
2012年玉林市城市建设投资有限公司市政项目建设债券,124029,12玉城投,1280414,12玉林城投债,2019-11-26
2009年海航集团有限公司公司债券,122927,09海航债,0980186,09海航债,2019-12-24
2012年江苏新海连发展集团有限公司公司债券,122585,12新海连,1280253,12新海连债,2020-08-27
2009年江苏新海连发展有限公司公司债券,123005,09新海连,0980155,09新海连债,2016-11-11
2013年遂宁发展投资有限责任公司公司债券,124260,13遂发展,1380184,13遂发展债,2020-04-25
2013年北京未来科技城开发建设有限公司公司债券,124361,13京科城,1380282,13京科技城债,2019-09-22
2012年咸宁市城市建设投资开发有限公司公司债券,122556,12咸宁投,1280261,12咸宁城投债,2018-08-31
2013年山东任城融鑫发展有限公司公司债券,124388,13任城债,1380316,13任城债,2020-10-18
2012年贵阳金阳建设投资(集团)有限公司公司债券,122521,12筑金阳,1280347,12金阳债,2018-10-24
2012年南京市城市建设投资控股(集团)有限责任公司公司债券,124030,12宁城投,1280409,12宁城建债,2018-11-26
2011年重庆市合川城市建设投资(集团)有限公司市政项目建设债券,122842,11合城债,1180003,11合川城投债,2018-01-06
2012年唐山市南湖生态城开发建设投资有限责任公司公司债券,122520,12唐城投,1280325,12唐山南湖债,2019-10-16
2011年重庆渝富资产经营管理有限公司公司债券,122846,11渝富债,1180029,11渝富债,2018-02-22
2013年闽西兴杭国有资产投资经营有限公司公司债券,124226,13闽兴杭,1380139,13闽西兴杭债,2019-03-26
2013年北京市朝阳区国有资本经营管理中心企业债券,124224,13朝国资,1380142,13朝国资债,2020-03-27
2013年泰州三福船舶工程有限公司公司债券,124218,13三福船,1380143,13三福船舶债,2019-03-27
2013年深圳市龙岗区投资管理有限公司公司债券,124275,13龙岗投,1380141,13龙岗区投债,2019-03-27
2013年江苏海州湾发展集团有限公司公司债券,124232,13苏海发,1380146,13苏海发债,2023-03-29
2012年国家电网公司企业债券(第二期)(10年期),124064,12国网04,1280400,12国网债04,2022-11-20
2012年国家电网公司企业债券(第二期)(7年期),124063,12国网03,1280399,12国网债03,2019-11-20
2013年六安城市建设投资有限公司公司债券(第一期),124439,13六安01,1380371,13六安债01,2020-12-02
2013年郑州交通建设投资有限公司公司债券,124368,13郑交投,1380297,13郑州交投债,2020-10-14
2010年太原重型机械集团有限公司公司债券,122853,10太重债,1080182,10太重债,2020-12-31
2011年宁海县城市建设投资开发有限公司公司债券,122605,11宁海债,1180202,11宁海城投债,2017-12-31
